Yýl;Ýl Kodu;Ýl Adý;Ýlce Kodu;Ýlce Adý;Ürün Adý;Ekilen Alan(dekar);Hasat Edilen Alan(dekar);Üretim Miktari(ton);Verim (Kg/Dekar);Rakým (m);Ortalama Sýcaklýk (°C);Nem Oraný (%);Yaðýþ Oraný (mm);Güneþ Iþýðý (saat/gün);;;;;
2012;4;AÐRI;0;MERKEZ;Buðday (Diðer) Sulu;  45 141;  45 141;  9 028;   200;1650;5.0;60;550;5.5;;;;;
2012;4;AÐRI;1;DÝYADÝN;Buðday (Durum) Kuru;;;;   140;1920;3.0;63;600;5.1;;;;;
2012;4;AÐRI;1;DÝYADÝN;Buðday (Durum) Sulu;;;;   170;1920;3.0;63;600;5.1;;;;;
2012;4;AÐRI;1;DÝYADÝN;Buðday (Diðer) Kuru;  28 598;  28 598;  4 004;   140;1920;3.0;63;600;5.1;;;;;
2012;4;AÐRI;1;DÝYADÝN;Buðday (Diðer) Sulu;  53 402;  53 402;  9 078;   170;1920;3.0;63;600;5.1;;;;;
2012;4;AÐRI;2;DOÐUBAYAZIT;Buðday (Durum) Kuru;;;;   150;1620;4.5;62;580;5.3;;;;;
2012;4;AÐRI;2;DOÐUBAYAZIT;Buðday (Durum) Sulu;;;;   200;1620;4.5;62;580;5.3;;;;;
2012;4;AÐRI;2;DOÐUBAYAZIT;Buðday (Diðer) Kuru;  107 945;  107 945;  16 192;   150;1620;4.5;62;580;5.3;;;;;
2012;4;AÐRI;2;DOÐUBAYAZIT;Buðday (Diðer) Sulu;  32 383;  32 383;  6 477;   200;1620;4.5;62;580;5.3;;;;;
2012;4;AÐRI;3;ELEÞKÝRT;Buðday (Durum) Kuru;;;;   140;1800;4.2;61;560;5.2;;;;;
2012;4;AÐRI;3;ELEÞKÝRT;Buðday (Durum) Sulu;;;;   180;1800;4.2;61;560;5.2;;;;;
2012;4;AÐRI;3;ELEÞKÝRT;Buðday (Diðer) Kuru;  43 000;  41 000;  5 740;   140;1800;4.2;61;560;5.2;;;;;
2012;4;AÐRI;3;ELEÞKÝRT;Buðday (Diðer) Sulu;  98 132;  98 132;  17 664;   180;1800;4.2;61;560;5.2;;;;;
2012;4;AÐRI;4;HAMUR;Buðday (Durum) Kuru;;;;   140;1730;4.5;62;580;5.3;;;;;
2012;4;AÐRI;4;HAMUR;Buðday (Durum) Sulu;;;;   180;1730;4.5;62;580;5.3;;;;;
2012;4;AÐRI;4;HAMUR;Buðday (Diðer) Kuru;  44 159;  44 159;  6 182;   140;1730;4.5;62;580;5.3;;;;;
2012;4;AÐRI;4;HAMUR;Buðday (Diðer) Sulu;   ;   ;   ;   180;1730;4.5;62;580;5.3;;;;;
2012;4;AÐRI;5;PATNOS;Buðday (Durum) Kuru;;;;   150;1400;6.0;59;520;5.8;;;;;
2012;4;AÐRI;5;PATNOS;Buðday (Durum) Sulu;;;;   250;1400;6.0;59;520;5.8;;;;;
2012;4;AÐRI;5;PATNOS;Buðday (Diðer) Kuru;  105 000;  105 000;  15 750;   150;1400;6.0;59;520;5.8;;;;;
2012;4;AÐRI;5;PATNOS;Buðday (Diðer) Sulu;  17 664;  17 664;  4 416;   250;1400;6.0;59;520;5.8;;;;;
2012;4;AÐRI;6;TAÞLIÇAY;Buðday (Durum) Kuru;;;;   140;1530;4.8;61;570;5.4;;;;;
